SnapshotMonth,RankingType,WeightLimit,Rank,FighterID,Wins,Knockouts,Losses,Draws,Title
2000-01,DIVISION,105,1,177,14,10,0,0,0
2000-01,DIVISION,105,2,179,13,4,0,0,0
2000-01,DIVISION,105,3,182,9,2,0,0,0
2000-01,DIVISION,105,4,178,16,3,0,0,0
2000-01,DIVISION,105,5,181,12,2,0,0,0
2000-01,DIVISION,105,6,183,10,3,0,0,0
2000-01,DIVISION,105,7,186,6,3,0,0,0
2000-01,DIVISION,105,8,184,7,3,0,0,0
2000-01,DIVISION,105,9,180,13,1,0,0,0
2000-01,DIVISION,105,10,185,7,2,0,0,0
2000-01,DIVISION,108,1,173,13,4,0,0,0
2000-01,DIVISION,108,2,174,12,6,0,0,0
2000-01,DIVISION,108,3,175,11,3,0,0,0
2000-01,DIVISION,108,4,176,9,1,0,0,0
2000-01,DIVISION,108,5,171,13,5,0,0,0
2000-01,DIVISION,108,6,170,16,4,0,0,0
2000-01,DIVISION,108,7,167,20,7,0,0,0
2000-01,DIVISION,108,8,168,20,3,0,0,0
2000-01,DIVISION,108,9,169,19,5,0,0,0
2000-01,DIVISION,108,10,172,13,5,0,0,0
2000-01,DIVISION,112,1,157,21,13,0,0,0
2000-01,DIVISION,112,2,160,10,4,0,0,0
2000-01,DIVISION,112,3,159,11,3,0,0,0
2000-01,DIVISION,112,4,161,9,4,0,0,0
2000-01,DIVISION,112,5,162,8,4,0,0,0
2000-01,DIVISION,112,6,158,15,7,0,0,0
2000-01,DIVISION,112,7,163,8,2,0,0,0
2000-01,DIVISION,112,8,164,7,2,0,0,0
2000-01,DIVISION,112,9,165,6,2,0,0,0
2000-01,DIVISION,112,10,166,6,1,0,0,0
2000-01,DIVISION,115,1,150,12,4,0,0,0
2000-01,DIVISION,115,2,148,13,7,0,0,0
2000-01,DIVISION,115,3,146,18,9,0,0,0
2000-01,DIVISION,115,4,151,11,5,0,0,0
2000-01,DIVISION,115,5,153,9,6,0,0,0
2000-01,DIVISION,115,6,147,14,7,0,0,0
2000-01,DIVISION,115,7,149,12,6,0,0,0
2000-01,DIVISION,115,8,154,9,4,0,0,0
2000-01,DIVISION,115,9,156,0,0,0,0,0
2000-01,DIVISION,115,10,145,16,4,0,0,0
2000-01,DIVISION,118,1,139,11,6,0,0,0
2000-01,DIVISION,118,2,140,11,5,0,0,0
2000-01,DIVISION,118,3,141,9,4,0,0,0
2000-01,DIVISION,118,4,138,14,4,0,0,0
2000-01,DIVISION,118,5,142,8,4,0,0,0
2000-01,DIVISION,118,6,135,17,5,0,0,0
2000-01,DIVISION,118,7,144,6,3,0,0,0
2000-01,DIVISION,118,8,143,7,3,0,0,0
2000-01,DIVISION,118,9,133,22,4,0,0,0
2000-01,DIVISION,118,10,134,21,5,0,0,0
2000-01,DIVISION,122,1,124,15,6,0,0,0
2000-01,DIVISION,122,2,126,14,6,0,0,0
2000-01,DIVISION,122,3,129,11,6,0,0,0
2000-01,DIVISION,122,4,123,16,7,0,0,0
2000-01,DIVISION,122,5,127,13,9,0,0,0
2000-01,DIVISION,122,6,125,16,2,0,0,0
2000-01,DIVISION,122,7,130,12,3,0,0,0
2000-01,DIVISION,122,8,131,7,2,0,0,0
2000-01,DIVISION,122,9,132,5,1,0,0,0
2000-01,DIVISION,122,10,122,17,5,0,0,0
2000-01,DIVISION,126,1,116,12,7,0,0,0
2000-01,DIVISION,126,2,115,14,7,0,0,0
2000-01,DIVISION,126,3,117,11,7,0,0,0
2000-01,DIVISION,126,4,111,24,6,0,0,0
2000-01,DIVISION,126,5,113,18,4,0,0,0
2000-01,DIVISION,126,6,119,7,2,0,0,0
2000-01,DIVISION,126,7,120,6,4,0,0,0
2000-01,DIVISION,126,8,118,9,3,0,0,0
2000-01,DIVISION,126,9,121,6,1,0,0,0
2000-01,DIVISION,126,10,112,20,5,0,0,0
2000-01,DIVISION,130,1,100,14,4,0,0,0
2000-01,DIVISION,130,2,102,12,7,0,0,0
2000-01,DIVISION,130,3,99,15,7,0,0,0
2000-01,DIVISION,130,4,104,10,5,0,0,0
2000-01,DIVISION,130,5,109,8,5,0,0,0
2000-01,DIVISION,130,6,101,13,5,0,0,0
2000-01,DIVISION,130,7,108,9,4,0,0,0
2000-01,DIVISION,130,8,110,9,2,0,0,0
2000-01,DIVISION,130,9,103,11,3,0,0,0
2000-01,DIVISION,130,10,105,10,5,0,0,0
2000-01,DIVISION,135,1,91,12,7,0,0,0
2000-01,DIVISION,135,2,86,24,8,0,0,0
2000-01,DIVISION,135,3,89,14,4,0,0,0
2000-01,DIVISION,135,4,90,13,5,0,0,0
2000-01,DIVISION,135,5,95,10,4,0,0,0
2000-01,DIVISION,135,6,94,12,3,0,0,0
2000-01,DIVISION,135,7,93,11,6,0,0,0
2000-01,DIVISION,135,8,88,16,5,0,0,0
2000-01,DIVISION,135,9,92,12,4,0,0,0
2000-01,DIVISION,135,10,87,19,3,0,0,0
2000-01,DIVISION,140,1,81,11,3,0,0,0
2000-01,DIVISION,140,2,82,10,5,0,0,0
2000-01,DIVISION,140,3,75,25,5,0,0,0
2000-01,DIVISION,140,4,79,11,7,0,0,0
2000-01,DIVISION,140,5,76,18,2,0,0,0
2000-01,DIVISION,140,6,77,15,7,0,0,0
2000-01,DIVISION,140,7,78,14,4,0,0,0
2000-01,DIVISION,140,8,83,8,3,0,0,0
2000-01,DIVISION,140,9,84,8,3,0,0,0
2000-01,DIVISION,140,10,80,11,4,0,0,0
2000-01,DIVISION,147,1,70,10,5,0,0,0
2000-01,DIVISION,147,2,68,10,6,0,0,0
2000-01,DIVISION,147,3,67,10,7,0,0,0
2000-01,DIVISION,147,4,73,9,3,0,0,0
2000-01,DIVISION,147,5,65,17,3,0,0,0
2000-01,DIVISION,147,6,66,12,4,0,0,0
2000-01,DIVISION,147,7,74,12,3,0,0,0
2000-01,DIVISION,147,8,69,11,3,0,0,0
2000-01,DIVISION,147,9,71,11,1,0,0,0
2000-01,DIVISION,147,10,72,10,3,0,0,0
2000-01,DIVISION,154,1,58,14,6,0,0,0
2000-01,DIVISION,154,2,56,21,9,0,0,0
2000-01,DIVISION,154,3,64,8,3,0,0,0
2000-01,DIVISION,154,4,63,9,4,0,0,0
2000-01,DIVISION,154,5,59,12,4,0,0,0
2000-01,DIVISION,154,6,60,10,5,0,0,0
2000-01,DIVISION,154,7,55,23,6,0,0,0
2000-01,DIVISION,154,8,62,10,3,0,0,0
2000-01,DIVISION,154,9,61,10,5,0,0,0
2000-01,DIVISION,154,10,57,15,8,0,0,0
2000-01,DIVISION,160,1,51,10,2,0,0,0
2000-01,DIVISION,160,2,52,9,4,0,0,0
2000-01,DIVISION,160,3,48,13,7,0,0,0
2000-01,DIVISION,160,4,53,10,2,0,0,0
2000-01,DIVISION,160,5,50,11,3,0,0,0
2000-01,DIVISION,160,6,54,2,1,0,0,0
2000-01,DIVISION,160,7,45,18,6,0,0,0
2000-01,DIVISION,160,8,46,17,6,0,0,0
2000-01,DIVISION,160,9,47,15,6,0,0,0
2000-01,DIVISION,160,10,49,12,6,0,0,0
2000-01,DIVISION,168,1,44,4,4,0,0,0
2000-01,DIVISION,168,2,34,23,6,0,0,0
2000-01,DIVISION,168,3,41,8,2,0,0,0
2000-01,DIVISION,168,4,42,8,2,0,0,0
2000-01,DIVISION,168,5,37,18,7,0,0,0
2000-01,DIVISION,168,6,38,16,5,0,0,0
2000-01,DIVISION,168,7,35,22,8,0,0,0
2000-01,DIVISION,168,8,40,8,2,0,0,0
2000-01,DIVISION,168,9,43,7,3,0,0,0
2000-01,DIVISION,168,10,39,12,4,0,0,0
2000-01,DIVISION,175,1,27,15,4,0,0,0
2000-01,DIVISION,175,2,30,8,6,0,0,0
2000-01,DIVISION,175,3,29,11,8,0,0,0
2000-01,DIVISION,175,4,24,19,11,0,0,0
2000-01,DIVISION,175,5,25,18,8,0,0,0
2000-01,DIVISION,175,6,26,16,3,0,0,0
2000-01,DIVISION,175,7,32,9,5,0,0,0
2000-01,DIVISION,175,8,28,14,2,0,0,0
2000-01,DIVISION,175,9,33,10,2,0,0,0
2000-01,DIVISION,175,10,31,9,2,0,0,0
2000-01,DIVISION,200,1,12,7,1,0,0,0
2000-01,DIVISION,200,2,13,17,6,0,0,0
2000-01,DIVISION,200,3,14,17,5,0,0,0
2000-01,DIVISION,200,4,15,10,2,0,0,0
2000-01,DIVISION,200,5,16,16,6,0,0,0
2000-01,DIVISION,200,6,17,9,2,0,0,0
2000-01,DIVISION,200,7,22,16,4,0,0,0
2000-01,DIVISION,200,8,18,14,9,0,0,0
2000-01,DIVISION,200,9,23,16,2,0,0,0
2000-01,DIVISION,200,10,19,11,3,0,0,0
2000-01,DIVISION,300,1,4,14,6,0,0,0
2000-01,DIVISION,300,2,2,13,6,0,0,0
2000-01,DIVISION,300,3,3,23,8,0,0,0
2000-01,DIVISION,300,4,5,12,4,0,0,0
2000-01,DIVISION,300,5,6,20,3,0,0,0
2000-01,DIVISION,300,6,7,14,7,0,0,0
2000-01,DIVISION,300,7,8,9,3,0,0,0
2000-01,DIVISION,300,8,1,25,7,0,0,0
2000-01,DIVISION,300,9,9,20,4,0,0,0
2000-01,DIVISION,300,10,11,19,5,0,0,0
2000-01,P4P,,1,1,25,7,0,0,0
2000-01,P4P,,2,86,24,8,0,0,0
2000-01,P4P,,3,75,25,5,0,0,0
2000-01,P4P,,4,111,24,6,0,0,0
2000-01,P4P,,5,3,23,8,0,0,0
2000-01,P4P,,6,157,21,13,0,0,0
2000-01,P4P,,7,34,23,6,0,0,0
2000-01,P4P,,8,55,23,6,0,0,0
2000-01,P4P,,9,35,22,8,0,0,0
2000-01,P4P,,10,56,21,9,0,0,0
2000-01,P4P,,11,133,22,4,0,0,0
2000-01,P4P,,12,36,20,9,0,0,0
2000-01,P4P,,13,24,19,11,0,0,0
2000-01,P4P,,14,134,21,5,0,0,0
2000-01,P4P,,15,167,20,7,0,0,0
