FighterID,FirstName,LastName,Nickname,Placement,Hometown,Country,Birthdate,Weightclass,Reach,Stance,Style
1,Ricardo,López,,None,Guantanamo,CU,23-04-1961,300,66,1,1
2,Edgar,Guzman,,None,Leon,MX,12-07-1969,300,66,0,3
3,David,Stankevic,,None,Marijampole,LT,04-01-1961,300,71,0,3
4,Takashi,Sato,,None,Sapporo,JP,19-05-1970,300,64,0,1
5,Elias,Matthias,Koloss,Middle,Hamburg,DE,23-08-1969,300,74,0,2
6,Ricardo,Perez,,None,Camaguey,CU,27-02-1963,300,71,0,2
7,Kron,Luan,,None,Elbasan,AL,09-07-1961,300,70,0,3
8,José,Delgado,,None,Bayamón,PR,16-05-1972,300,64,0,1
9,David,Ramirez,,None,Santa Tecla,SV,26-03-1962,300,70,1,2
10,Cian,Sullivan,The Irish Giant,Middle,Cork,IE,14-02-1965,300,70,0,3
11,André,Almeida,,None,São Paulo,BR,08-07-1964,300,70,1,2
12,Robert,O'Brien,,None,Derry,IE,29-05-1972,200,70,0,2
13,Lahiru,Gamage,,None,Trincomalee,LK,12-12-1963,200,66,0,3
14,Mateo,Anderson,,None,Edmonton,CA,5-12-1961,200,65,0,1
15,Isaiah,Martinez,,None,Las Vegas,US,17-02-1966,200,64,1,4
16,Roberto,Álvarez,,None,Bayamo,CU,29-11-1964,200,66,0,1
17,Laura,dos Santos,,None,Bettembourg,LU,16-07-1967,200,74,0,2
18,František,Roman,Bohemian,Middle,Ostrava,CZ,03-08-1968,200,69,1,3
19,Akmal,Yuldashyev,,None,Namangan,UZ,09-12-1968,200,65,1,1
20,Sultan,Ivanova,,None,Shymkent,KZ,08-05-1970,200,69,0,3
21,Aaron,Murphy,,None,Galway,IE,19-06-1973,200,70,0,3
22,Ritthichai,Phromphong,,None,Phuket,TH,26-06-1966,200,71,0,3
23,Pedro,Castillo,,None,Choloma,HN,01-04-1964,200,64,0,1
24,Alonso,Gomez,,None,Liberia,CR,03-01-1966,175,66,0,3
25,Carlos,López,,None,Cuenca,EC,12-10-1967,175,65,1,1
26,Delbert,Meyer,,None,Munich,DE,02-03-1961,175,67,0,1
27,Ibrahim,Ahmed,,None,Batroun,LB,10-07-1969,175,70,0,2
28,Fumihiro,Fujimoto,Iron Blade,Middle,Osaka,JP,29-08-1969,175,73,0,2
29,Alexandru,Mihai,,None,Constanta,RO,30-10-1970,175,66,1,3
30,Omar,Mokhtari,,None,Djelfa,DZ,01-08-1969,175,67,0,3
31,Ahmad,Pour,,None,Qom,IR,16-04-1970,175,67,0,1
32,Dereck,Ramos,,None,Mayaguez,PR,09-04-1968,175,67,1,3
33,Julio,Cedeno,,None,Santiago,PA,23-09-1967,175,66,0,1
34,Adam,Ryan,,None,Waterford,IE,09-04-1960,168,70,0,2
35,Stuart,Ward,,None,Galsgow,UK,16-12-1962,168,70,0,3
36,Aleksei,Yvanov,,None,Donetsk,UA,01-05-1963,168,70,0,3
37,Nico,Martini,,None,Bologn,IT,26-03-1964,168,73,0,4
38,Sombun,Cherinsuk,,None,Chiang Mai,TH,30-04-1969,168,66,0,4
39,Christian,Conrad,Der Sturm,Middle,Berlin,DE,28-10-1961,168,74,0,4
40,Jack,Anderson,,None,Ottawa-Gatineau,CA,28-12-1970,168,63,0,1
